bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower
8-30,0,,,,,,,LightGBM,2019,2
31-90,0,,,,,,,LightGBM,2019,2
91-180,0,,,,,,,LightGBM,2019,2
181-270,0,,,,,,,LightGBM,2019,2
271-365,0,,,,,,,LightGBM,2019,2
1-7,0,,,,,,,SARIMAX,2019,2
8-30,0,,,,,,,SARIMAX,2019,2
31-90,0,,,,,,,SARIMAX,2019,2
91-180,0,,,,,,,SARIMAX,2019,2
181-270,0,,,,,,,SARIMAX,2019,2
271-365,0,,,,,,,SARIMAX,2019,2
1-7,0,,,,,,,Ensemble_unweighted,2019,2
8-30,0,,,,,,,Ensemble_unweighted,2019,2
31-90,0,,,,,,,Ensemble_unweighted,2019,2
91-180,0,,,,,,,Ensemble_unweighted,2019,2
181-270,0,,,,,,,Ensemble_unweighted,2019,2
271-365,0,,,,,,,Ensemble_unweighted,2019,2
1-7,0,,,,,,,Ensemble_MASEweighted,2019,2
8-30,0,,,,,,,Ensemble_MASEweighted,2019,2
31-90,0,,,,,,,Ensemble_MASEweighted,2019,2
91-180,0,,,,,,,Ensemble_MASEweighted,2019,2
181-270,0,,,,,,,Ensemble_MASEweighted,2019,2
271-365,0,,,,,,,Ensemble_MASEweighted,2019,2
1-7,0,,,,,,,TFT,2019,2
8-30,0,,,,,,,TFT,2019,2
31-90,0,,,,,,,TFT,2019,2
91-180,0,,,,,,,TFT,2019,2
181-270,0,,,,,,,TFT,2019,2
271-365,0,,,,,,,TFT,2019,2
1-7,0,,,,,,,TabPFN,2019,2
8-30,0,,,,,,,TabPFN,2019,2
31-90,0,,,,,,,TabPFN,2019,2
91-180,0,,,,,,,TabPFN,2019,2
181-270,0,,,,,,,TabPFN,2019,2
271-365,0,,,,,,,TabPFN,2019,2
1-7,0,,,,,,,DLinear,2019,2
8-30,0,,,,,,,DLinear,2019,2
31-90,0,,,,,,,DLinear,2019,2
91-180,0,,,,,,,DLinear,2019,2
181-270,0,,,,,,,DLinear,2019,2
271-365,0,,,,,,,DLinear,2019,2
1-7,0,,,,,,,LSTM,2019,2
8-30,0,,,,,,,LSTM,2019,2
31-90,0,,,,,,,LSTM,2019,2
91-180,0,,,,,,,LSTM,2019,2
181-270,0,,,,,,,LSTM,2019,2
271-365,0,,,,,,,LSTM,2019,2
1-7,0,,,,,,,TabICLv2,2019,2
8-30,0,,,,,,,TabICLv2,2019,2
31-90,0,,,,,,,TabICLv2,2019,2
91-180,0,,,,,,,TabICLv2,2019,2
181-270,0,,,,,,,TabICLv2,2019,2
271-365,0,,,,,,,TabICLv2,2019,2
1-7,0,,,,,,,RF,2020,2
8-30,0,,,,,,,RF,2020,2
31-90,0,,,,,,,RF,2020,2
91-180,0,,,,,,,RF,2020,2
181-270,0,,,,,,,RF,2020,2
271-365,0,,,,,,,RF,2020,2
1-7,0,,,,,,,XGB,2020,2
8-30,0,,,,,,,XGB,2020,2
31-90,0,,,,,,,XGB,2020,2
91-180,0,,,,,,,XGB,2020,2
181-270,0,,,,,,,XGB,2020,2
271-365,0,,,,,,,XGB,2020,2
1-7,0,,,,,,,LightGBM,2020,2
8-30,0,,,,,,,LightGBM,2020,2
31-90,0,,,,,,,LightGBM,2020,2
91-180,0,,,,,,,LightGBM,2020,2
181-270,0,,,,,,,LightGBM,2020,2
271-365,0,,,,,,,LightGBM,2020,2
1-7,0,,,,,,,SARIMAX,2020,2
8-30,0,,,,,,,SARIMAX,2020,2
31-90,0,,,,,,,SARIMAX,2020,2
91-180,0,,,,,,,SARIMAX,2020,2
181-270,0,,,,,,,SARIMAX,2020,2
271-365,0,,,,,,,SARIMAX,2020,2
1-7,0,,,,,,,Ensemble_unweighted,2020,2
8-30,0,,,,,,,Ensemble_unweighted,2020,2
31-90,0,,,,,,,Ensemble_unweighted,2020,2
91-180,0,,,,,,,Ensemble_unweighted,2020,2
181-270,0,,,,,,,Ensemble_unweighted,2020,2
271-365,0,,,,,,,Ensemble_unweighted,2020,2
1-7,0,,,,,,,Ensemble_MASEweighted,2020,2
8-30,0,,,,,,,Ensemble_MASEweighted,2020,2
31-90,0,,,,,,,Ensemble_MASEweighted,2020,2
91-180,0,,,,,,,Ensemble_MASEweighted,2020,2
181-270,0,,,,,,,Ensemble_MASEweighted,2020,2
271-365,0,,,,,,,Ensemble_MASEweighted,2020,2
1-7,0,,,,,,,TFT,2020,2
8-30,0,,,,,,,TFT,2020,2
31-90,0,,,,,,,TFT,2020,2
91-180,0,,,,,,,TFT,2020,2
181-270,0,,,,,,,TFT,2020,2
271-365,0,,,,,,,TFT,2020,2
1-7,0,,,,,,,TabPFN,2020,2
8-30,0,,,,,,,TabPFN,2020,2
31-90,0,,,,,,,TabPFN,2020,2
91-180,0,,,,,,,TabPFN,2020,2
181-270,0,,,,,,,TabPFN,2020,2
271-365,0,,,,,,,TabPFN,2020,2
1-7,0,,,,,,,DLinear,2020,2
8-30,0,,,,,,,DLinear,2020,2
31-90,0,,,,,,,DLinear,2020,2
91-180,0,,,,,,,DLinear,2020,2
181-270,0,,,,,,,DLinear,2020,2
271-365,0,,,,,,,DLinear,2020,2
1-7,0,,,,,,,LSTM,2020,2
8-30,0,,,,,,,LSTM,2020,2
31-90,0,,,,,,,LSTM,2020,2
91-180,0,,,,,,,LSTM,2020,2
181-270,0,,,,,,,LSTM,2020,2
271-365,0,,,,,,,LSTM,2020,2
1-7,0,,,,,,,TabICLv2,2020,2
